Start Time,End Time,sentence,sub-emotion,Intensity,emotion
"00:04:43,000","00:04:46,000",Any of you guys think you've got game when it comes to the physical challenges?,curiosity,moderate,unknown
"00:04:46,000","00:04:47,000",Nathan?,neutral,neutral,neutral
"00:04:47,000","00:04:50,000","Maybe a few years ago, but I'm an old man now.",neutral,neutral,neutral
"00:04:50,000","00:04:54,000",Who thinks they can put food on the table?,curiosity,mild,unknown
"00:04:54,000","00:04:56,000","Tony, how you gonna do that?",curiosity,moderate,unknown
"00:04:56,000","00:04:59,000","Well, there's a lot of stuff that creeps around out there in the bush.",neutral,neutral,neutral
"00:04:59,000","00:05:02,000",I'm sure I can come up with something that's edible.,optimism,mild,unknown
"00:05:02,000","00:05:05,000",The things they teach you as a soldier is attention to detail.,pride,mild,unknown
"00:05:05,000","00:05:07,000",I'm also a former unit tracker.,pride,mild,unknown
"00:05:07,000","00:05:09,000",I can track a human through the bush.,pride,moderate,unknown
"00:05:09,000","00:05:12,000",I can stay on this beach for a month. All I need is water.,,,unknown
"00:05:12,000","00:05:15,000","I mean, this environment, yes, it's hot. It's horrible.",annoyance,moderate,unknown
"00:05:15,000","00:05:17,000","Hey, guess what? There's a survivor.",surprise,moderate,neutral
"00:05:17,000","00:05:20,000","All right, let's get into it. First things first.",excitement,moderate,positive
"00:05:20,000","00:05:23,000","The teams, come forward and take your buff.",neutral,neutral,neutral
"00:05:23,000","00:05:26,000","Orange buffs, your mogaton.",neutral,neutral,neutral
"00:05:26,000","00:05:28,000",Sala.,neutral,neutral,neutral
"00:05:33,000","00:05:35,000",Woods!,neutral,neutral,neutral
"00:05:35,000","00:05:37,000",Anna.,neutral,neutral,neutral
"00:05:37,000","00:05:40,000",I am a plus-size model.,pride,mild,unknown
"00:05:40,000","00:05:43,000",I play roller derby.,pride,mild,unknown
"00:05:43,000","00:05:46,000",And I am a powerlifter.,pride,mild,unknown
"00:05:46,000","00:05:48,000",Abi.,neutral,neutral,neutral
"00:05:50,000","00:05:52,000",Isabel.,neutral,neutral,neutral
"00:05:52,000","00:05:55,000",I'm here on Survivor because I can't resist a challenge.,excitement,moderate,positive
"00:05:55,000","00:05:57,000","I love proving people wrong,",pride,moderate,unknown
"00:05:57,000","00:05:59,000",and I just love it when people get surprised,amusement,moderate,unknown
"00:05:59,000","00:06:02,000","and they think I can't do something, and then I do it.",pride,intense,unknown
"00:06:02,000","00:06:04,000",Tom.,neutral,neutral,neutral
"00:06:07,000","00:06:09,000","Gosh, my heart's racing.",nervousness,intense,unknown
"00:06:09,000","00:06:11,000",Shaina.,neutral,neutral,neutral
"00:06:13,000","00:06:15,000",Anthony.,neutral,neutral,neutral
"00:06:16,000","00:06:18,000",Anthony.,neutral,neutral,neutral
"00:06:20,000","00:06:24,000","And last but probably not least, Louisa.",neutral,neutral,neutral
"00:06:26,000","00:06:28,000",Thanks. Cheers.,gratitude,mild,unknown
"00:06:28,000","00:06:30,000","Sala and Shaina, you're looking pretty stoked.",approval,mild,unknown
"00:06:30,000","00:06:32,000",How are you feeling about your new tribe?,curiosity,mild,unknown
"00:06:32,000","00:06:34,000","I've got my brother from another mother over here,",joy,mild,positive
"00:06:34,000","00:06:36,000",which I'm really happy about.,joy,moderate,positive
"00:06:36,000","00:06:38,000","Shay, when she walked over and she said, you know,",neutral,neutral,neutral
"00:06:38,000","00:06:40,000","brother from another mother,",neutral,neutral,neutral
"00:06:40,000","00:06:42,000",that saying worried me,nervousness,moderate,unknown
"00:06:42,000","00:06:46,000",because it felt like a strategic back-line alliance.,realization,mild,unknown
"00:06:46,000","00:06:48,000","Your mogaton tribe,",neutral,neutral,neutral
"00:06:48,000","00:06:51,000",named after Ngaragua's highest mountain.,neutral,neutral,neutral
"00:06:51,000","00:06:54,000","It'll be interesting to see if you can live up to your mighty name,",curiosity,mild,unknown
"00:06:54,000","00:06:56,000",which means purple buffs for you other guys.,neutral,neutral,neutral
"00:06:56,000","00:06:58,000",Barb.,neutral,neutral,neutral
"00:06:58,000","00:07:00,000",Yes! I look good in blue.,pride,moderate,unknown
"00:07:00,000","00:07:02,000","That's purple, isn't it, Barb?",confusion,mild,unknown
"00:07:02,000","00:07:04,000","No, but it's a cool colour.",approval,mild,unknown
"00:07:04,000","00:07:06,000",OK. Georgia.,neutral,neutral,neutral
"00:07:06,000","00:07:08,000","I don't know why I had this feeling,",confusion,moderate,unknown
"00:07:08,000","00:07:10,000",but I didn't want to be in that first team.,disappointment,mild,unknown
"00:07:10,000","00:07:12,000",I was actually stoked.,excitement,intense,positive
"00:07:12,000","00:07:14,000","When I looked around, saw the members,",curiosity,mild,unknown
"00:07:14,000","00:07:16,000",I was super happy.,joy,intense,positive
"00:07:16,000","00:07:18,000",Made it.,pride,moderate,unknown
"00:07:18,000","00:07:20,000",Nathan.,neutral,neutral,neutral
"00:07:20,000","00:07:22,000","I was pretty concerned when they delegated up into tribes,",,,unknown
"00:07:22,000","00:07:24,000","and even that ride-in on the truck,",neutral,neutral,neutral
"00:07:24,000","00:07:26,000",you tend to make a bit of a quick connection.,curiosity,mild,unknown
"00:07:26,000","00:07:29,000",Most of the people that I had formed some kind of connection with,caring,mild,unknown
"00:07:29,000","00:07:31,000","were on the other side, so I was pretty gutted.",sadness,moderate,unknown
"00:07:31,000","00:07:33,000",Jack.,neutral,neutral,neutral
"00:07:33,000","00:07:35,000","Cheers, brother. Good, mate.",gratitude,mild,unknown
"00:07:35,000","00:07:37,000",Shannon.,neutral,neutral,neutral
"00:07:37,000","00:07:39,000",Lee.,neutral,neutral,neutral
"00:07:40,000","00:07:42,000",Cheers.,gratitude,mild,unknown
"00:07:42,000","00:07:44,000",Michael.,neutral,neutral,neutral
"00:07:45,000","00:07:47,000","Cheers, mate.",gratitude,mild,unknown
"00:07:47,000","00:07:49,000","And, of course, Dee.",neutral,neutral,neutral
"00:07:51,000","00:07:53,000",Thank you very much. You're welcome.,gratitude,mild,unknown
"00:07:54,000","00:07:56,000",Mmm!,neutral,neutral,neutral
"00:07:56,000","00:07:58,000","Yeah, guys!",excitement,moderate,positive
"00:07:58,000","00:08:00,000","Purple tribe, Yohamosa,",neutral,neutral,neutral
"00:08:00,000","00:08:02,000",named after the bay right here,neutral,neutral,neutral
"00:08:02,000","00:08:04,000",and also Spanish for beautiful.,admiration,mild,unknown
"00:08:04,000","00:08:06,000",Oh! Barb.,surprise,mild,neutral
"00:08:06,000","00:08:08,000","A tribe name perfectly suited to you, I think.",approval,mild,unknown
"00:08:08,000","00:08:10,000",I think it's perfectly an apt name.,approval,mild,unknown
"00:08:12,000","00:08:14,000","Michael, what are you making?",curiosity,mild,unknown
"00:08:14,000","00:08:16,000",Are you new tribe mates?,curiosity,mild,unknown
"00:08:16,000","00:08:18,000","Yeah, I'm really happy with what I got.",joy,moderate,positive
"00:08:18,000","00:08:20,000",It looks like we've got a pretty competitive team.,optimism,moderate,unknown
"00:08:20,000","00:08:22,000","So when I look around at the other tribes,",curiosity,mild,unknown
"00:08:22,000","00:08:24,000","as Matt's called them out,",neutral,neutral,neutral
"00:08:24,000","00:08:26,000","I see that Mike and Lee and Jack and Nathan,",neutral,neutral,neutral
"00:08:26,000","00:08:30,000","you know, the people who I had made a quick and easy bond with,",caring,mild,unknown
"00:08:30,000","00:08:32,000","are on the other side,",disappointment,mild,unknown
"00:08:32,000","00:08:34,000",and I feel like I don't know these people.,confusion,moderate,unknown
"00:08:34,000","00:08:36,000",Soak up the atmosphere,optimism,mild,unknown
"00:08:36,000","00:08:38,000","and enjoy being part of the team, guys,",caring,mild,unknown
"00:08:38,000","00:08:40,000","because by the end of the day,",neutral,neutral,neutral
"00:08:40,000","00:08:43,000",two of you will no longer be in these tribes.,fear,moderate,negative
"00:08:45,000","00:08:47,000",That's right.,neutral,neutral,neutral
"00:08:47,000","00:08:50,000","One person from Mogaton, one from Yohamosa,",neutral,neutral,neutral
"00:08:50,000","00:08:53,000",will be voted out at the very first tribal council tonight.,,,unknown
"00:08:53,000","00:08:55,000",Gone.,sadness,mild,unknown
"00:08:55,000","00:08:57,000",Just like that.,surprise,mild,neutral
"00:09:00,000","00:09:02,000","Georgia, you are looking very worried.",,,unknown
"00:09:02,000","00:09:04,000",Why so worried?,curiosity,mild,unknown
"00:09:04,000","00:09:06,000","That sucks! It's day one,",disappointment,intense,unknown
"00:09:06,000","00:09:08,000",and already we've got to vote someone out.,disappointment,moderate,unknown
"00:09:08,000","00:09:10,000",That's so stink.,annoyance,moderate,unknown
"00:09:10,000","00:09:12,000","We're not even on the ground,",neutral,neutral,neutral
"00:09:12,000","00:09:14,000","and bang, someone's going home.",surprise,moderate,neutral
"00:09:14,000","00:09:16,000","Ah, unfair.",disapproval,moderate,unknown
"00:09:16,000","00:09:18,000","Someone has to go home,",sadness,mild,unknown
"00:09:18,000","00:09:20,000",and they haven't even been given a chance,disappointment,moderate,unknown
"00:09:20,000","00:09:22,000",to put their best foot forward.,disappointment,mild,unknown
"00:09:22,000","00:09:24,000",You guys know you're here to play a game?,curiosity,mild,unknown
"00:09:24,000","00:09:26,000",It's a harsh game for day one.,disapproval,moderate,unknown
"00:09:26,000","00:09:28,000",It's a harsh game from day one.,disapproval,moderate,unknown
"00:09:28,000","00:09:31,000",I reckon you guys have got it pretty well worked out already.,approval,mild,unknown
"00:09:31,000","00:09:33,000",We're not getting into this competition either.,disappointment,moderate,unknown
"00:09:33,000","00:09:37,000",We're kicking things off with a challenge right now.,excitement,moderate,positive
"00:09:38,000","00:09:40,000",Of course we are.,neutral,neutral,neutral
"00:09:40,000","00:09:42,000",Georgia's feeling pretty good about that.,optimism,mild,unknown
"00:09:44,000","00:09:46,000",I'm going to give you two minutes,neutral,neutral,neutral
"00:09:46,000","00:09:49,000",to clean everything off this boat you can.,neutral,neutral,neutral
"00:09:49,000","00:09:53,000",Whatever you have on your tribe mat at the finish,neutral,neutral,neutral
"00:09:53,000","00:09:55,000",is yours to keep.,neutral,neutral,neutral
"00:09:55,000","00:09:57,000","Come on, guys.",neutral,neutral,neutral
"00:09:57,000","00:09:59,000",It's knives.,neutral,neutral,neutral
"00:10:00,000","00:10:05,000",The large sack of rice and flint is locked in the chest in the middle of the boat.,neutral,neutral,neutral
"00:10:05,000","00:10:12,000","But, before you get to that, you're going to have to find a key buried under one of these coloured rocks.",curiosity,mild,unknown
"00:10:12,000","00:10:17,000",I have made a fire before without flint. It takes a lot of time and a lot of perseverance.,pride,mild,unknown
"00:10:17,000","00:10:22,000",Survivors ready? Your time starts now. Go!,excitement,intense,positive
"00:10:22,000","00:10:25,000",This challenge is on!,excitement,intense,positive
"00:10:26,000","00:10:32,000","A bit of strategy already at play here. Both teams going for the key, both teams going for the loot.",curiosity,mild,unknown
"00:10:35,000","00:10:42,000",Tom is digging hard. No one's found the key. Just how important is that rice and that flint?,curiosity,moderate,unknown
"00:10:42,000","00:10:48,000",Flint creates fire. Fire boils water.,realization,mild,unknown
"00:10:48,000","00:10:53,000",Mogga and Tom are getting some good loot already. 90 seconds remaining.,excitement,moderate,positive
"00:10:53,000","00:10:59,000","Both tribes working hard. No surprise, Barb's going for the vegetables.",neutral,neutral,neutral
"00:10:59,000","00:11:03,000",Zala losing some gravy. Arby's working hard.,neutral,neutral,neutral
"00:11:03,000","00:11:07,000",Looks like Mogga and Tom have got the front edge at this point.,optimism,mild,unknown
"00:11:07,000","00:11:12,000",Jack is working hard. Tom's still digging.,neutral,neutral,neutral
"00:11:12,000","00:11:17,000",Michael's digging. 30 seconds to go. Dig it in!,excitement,moderate,positive
"00:11:17,000","00:11:22,000",You've got to start as you mean to go on.,neutral,neutral,neutral
"00:11:22,000","00:11:29,000","Isabel, she has got this game down. No one finds the key, no one gets the rice or that flint.",admiration,mild,unknown
"00:11:29,000","00:11:32,000","It's going to be a dry, hungry night.",disappointment,moderate,unknown
"00:11:32,000","00:11:38,000","This is it, right here. Isabel testing the rules early in this game.",curiosity,mild,unknown
"00:11:38,000","00:11:40,000","Keep working, guys. Now or never.",,,unknown
"00:11:40,000","00:11:52,000","10, 9, 8, 7, 6, 5, 4, 3, 2, 1. Stop! Your time is over.",excitement,intense,positive
"00:11:52,000","00:11:56,000","Oh, they're doing it again.",annoyance,mild,unknown
"00:11:56,000","00:12:01,000","Did somebody take that? Oh, great, we're that tribe.",annoyance,moderate,unknown
"00:12:01,000","00:12:06,000",It wasn't a nice feeling to see that the other team took most of our good stuff.,disappointment,moderate,unknown
"00:12:06,000","00:12:11,000",We all got back to the mats and to see that we had hardly anything there.,disappointment,moderate,unknown
"00:12:11,000","00:12:14,000",There was definitely a bit of a blow. They looked pretty smug.,annoyance,moderate,unknown
"00:12:14,000","00:12:18,000",You got it! Yeah!,excitement,intense,positive
"00:12:18,000","00:12:20,000",They were ripping us off.,anger,moderate,unknown
"00:12:20,000","00:12:23,000",I actually saw Isabel come along and grab some stuff.,surprise,mild,neutral
"00:12:23,000","00:12:26,000",And I thought maybe they'd just got it on the wrong mat.,confusion,mild,unknown
"00:12:26,000","00:12:30,000",I cannot believe that I didn't react.,disappointment,moderate,unknown
"00:12:30,000","00:12:34,000",They stole our back thing.,annoyance,moderate,unknown
"00:12:34,000","00:12:41,000","I didn't see what she was doing, but it sounded like she stole quite a lot from the other mat.",disapproval,moderate,unknown
"00:12:45,000","00:12:49,000",I feel a little bit bad for the other swans because they had nothing.,caring,mild,unknown
"00:13:05,000","00:13:09,000","Ogaton, looking like the clear winners in this game.",admiration,mild,unknown
"00:13:09,000","00:13:10,000",Yeah.,neutral,neutral,neutral
"00:13:10,000","00:13:12,000","Tony, what was the game plan?",curiosity,mild,unknown
"00:13:12,000","00:13:14,000","Everyone going hell for leather to get what they could get, eh?",excitement,moderate,positive
"00:13:14,000","00:13:18,000",I could not believe when I looked down how much gear there was on that mat.,surprise,moderate,neutral
"00:13:18,000","00:13:24,000","I looked over the other tribe and I was going, oh, I know which tribe I'm going to be in.",realization,mild,unknown
"00:13:24,000","00:13:30,000",And Isabel?,curiosity,mild,unknown
"00:13:31,000","00:13:35,000",Playing the game early!,approval,moderate,unknown
"00:13:35,000","00:13:39,000","Well, it's a strategy and this is a game and I did what I could.",pride,mild,unknown
"00:13:39,000","00:13:41,000",I read between the lines.,realization,mild,unknown
"00:13:41,000","00:13:44,000","I'm not a bitter person, but no, actually I'm a very bitter person.",remorse,moderate,unknown
"00:13:44,000","00:13:47,000",I'm not happy at all. I'm pretty pissed off.,anger,intense,unknown
"00:13:47,000","00:13:50,000",Maybe we should give them a knife. I'll give them a knife at the end.,caring,mild,unknown
"00:13:50,000","00:13:52,000","Dee, is this how you wanted to start this game?",curiosity,mild,unknown
"00:13:52,000","00:13:56,000",We're here to play survivor. I've got a pot. I'm good.,optimism,moderate,unknown
"00:13:56,000","00:14:00,000",At one point we'll get fire. You always end up with fire.,optimism,mild,unknown
"00:14:00,000","00:14:04,000",I've got a good team. I've got a squished melon. I'm all right.,optimism,mild,unknown
"00:14:04,000","00:14:08,000","All right, guys. Grab your loot. Set up camp for the first time.",excitement,mild,positive
"00:14:08,000","00:14:12,000","Ogaton, you're going that way.",neutral,neutral,neutral
"00:14:12,000","00:14:15,000",Here's a map to your camp.,neutral,neutral,neutral
"00:14:15,000","00:14:16,000",That's camp loot.,neutral,neutral,neutral
"00:14:16,000","00:14:19,000","Mimosa, you're going that way.",neutral,neutral,neutral
"00:14:20,000","00:14:24,000",I also want you to start thinking about tonight's first tribal council,,,unknown
"00:14:24,000","00:14:27,000",and who you'll be voting out of this tribe. See you at tribal.,,,unknown
"00:14:27,000","00:14:30,000",Can I just say one thing? I just want to...,nervousness,mild,unknown
"00:14:30,000","00:14:32,000",I feel bad if you don't have a knife.,caring,mild,unknown
"00:14:32,000","00:14:33,000",What?,confusion,mild,unknown
"00:14:33,000","00:14:35,000",So I'll give you a knife.,caring,mild,unknown
"00:14:35,000","00:14:37,000",Got one. Take it.,neutral,neutral,neutral
"00:14:37,000","00:14:40,000","No, no, no. Grab that knife, Jack.",neutral,neutral,neutral
"00:14:40,000","00:14:42,000",I don't want to take it.,disapproval,mild,unknown
"00:14:42,000","00:14:44,000","The whole principle is if you're going to steal,",disapproval,moderate,unknown
"00:14:44,000","00:14:49,000",then you've got to live with the consequences of looking like a bit of a villain.,disapproval,moderate,unknown
"00:14:49,000","00:14:51,000","Isabel, what was that about?",curiosity,mild,unknown
"00:14:51,000","00:14:54,000","I think a knife is essential, and if you didn't have that,",caring,mild,unknown
"00:14:54,000","00:14:57,000",I couldn't imagine going into the bush without one.,neutral,neutral,neutral
"00:14:57,000","00:15:00,000","Isabel, you're being nice right off the bat.",surprise,mild,neutral
"00:15:00,000","00:15:02,000",Yeah.,neutral,neutral,neutral
"00:15:02,000","00:15:04,000",I'm confused by your strategy.,confusion,moderate,unknown
"00:15:04,000","00:15:07,000","Well, I have morals, and I have a moral compass as well,",pride,mild,unknown
"00:15:07,000","00:15:11,000","and so, you know, I feel bad for them as well.",caring,mild,unknown
"00:15:11,000","00:15:15,000","It is a game at the end of the day, and it was just part of the strategy.",neutral,neutral,neutral
"00:15:25,000","00:15:27,000","Awesome, mate. There's our beach.",excitement,moderate,positive
"00:15:27,000","00:15:29,000",This is wicked.,excitement,moderate,positive
"00:15:29,000","00:15:32,000","Is that a point break over there, Tom?",curiosity,mild,unknown
"00:15:32,000","00:15:34,000","Yeah, mate.",neutral,neutral,neutral
"00:15:36,000","00:15:39,000","This is our home for the next however long, guys.",optimism,mild,unknown
"00:15:39,000","00:15:43,000","Walking together, we were all really stoked, you know, for winning,",excitement,moderate,positive
"00:15:43,000","00:15:46,000","and we're just carrying all our goods, and we're looking out in the ocean,",neutral,neutral,neutral
"00:15:46,000","00:15:49,000","and you see these pelicans, and you realise,",realization,mild,unknown
"00:15:49,000","00:15:53,000","wow, we're not in South Auckland anymore.",surprise,mild,neutral
"00:15:53,000","00:15:55,000","Oh, yeah.",neutral,neutral,neutral
"00:15:55,000","00:15:57,000",Nice.,approval,mild,unknown
"00:15:57,000","00:16:02,000","And as soon as we saw our flag, we knew, oh, this is home base.",realization,moderate,unknown
"00:16:02,000","00:16:05,000","Yeah, it sunk in. We're here.",realization,moderate,unknown
"00:16:05,000","00:16:07,000","One, two, three.",neutral,neutral,neutral
"00:16:07,000","00:16:09,000",Muggerton!,excitement,mild,positive
"00:16:09,000","00:16:11,000",Woods!,excitement,mild,positive
"00:16:11,000","00:16:14,000","We'll go over here in the shade, and we'll just get out of the asylum,",relief,mild,unknown
"00:16:14,000","00:16:17,000","and we'll have a quick chat, and then we'll get into it.",neutral,neutral,neutral
"00:16:17,000","00:16:20,000",You can leave all your gear here.,neutral,neutral,neutral
"00:16:20,000","00:16:22,000","OK, guys, just a suggestion.",neutral,neutral,neutral
"00:16:22,000","00:16:25,000","I've got a bit of experience working in bush like this,",pride,mild,unknown
"00:16:25,000","00:16:28,000","how to set up a camp, toilet, and all the rest of it, but we're a team,",caring,mild,unknown
"00:16:28,000","00:16:30,000","and I think if we play together,",optimism,mild,unknown
"00:16:30,000","00:16:33,000","everybody's got input and a bit of a say on what goes on, eh?",approval,mild,unknown
"00:16:33,000","00:16:35,000",Master Tony?,curiosity,mild,unknown
"00:16:35,000","00:16:37,000","Yeah, man, he's the man, eh?",admiration,mild,unknown
"00:16:37,000","00:16:40,000","He's got a lot of experience, man, a lot of knowledge,",admiration,moderate,unknown
"00:16:40,000","00:16:42,000",and he's not shy to share it.,approval,mild,unknown
"00:16:42,000","00:16:45,000","Just remember, when you're working around in this environment,",neutral,neutral,neutral
"00:16:45,000","00:16:48,000","although it may look open, every time you go to touch something,",neutral,neutral,neutral
"00:16:48,000","00:16:50,000","give it a bit of a kick, or find yourself a stick,",neutral,neutral,neutral
"00:16:50,000","00:16:52,000","and give it a bit of a shuffle,",neutral,neutral,neutral
"00:16:52,000","00:16:54,000","because there's always going to be something around,",fear,moderate,negative
"00:16:54,000","00:16:56,000",and more so when it gets dark.,fear,mild,negative
"00:16:56,000","00:16:58,000",I don't mind being a leader at all.,neutral,neutral,neutral
"00:16:58,000","00:17:00,000","I do have a considerable amount of experience,",pride,mild,unknown
"00:17:01,000","00:17:03,000",They see me as valuable.,pride,moderate,unknown
"00:17:03,000","00:17:05,000",That's part of my plan anyway.,neutral,neutral,neutral
"00:17:05,000","00:17:07,000",Make yourself valuable.,neutral,neutral,neutral
"00:17:07,000","00:17:09,000",Don't be just an extra body on the ground.,neutral,neutral,neutral
"00:17:09,000","00:17:11,000","If we can all just have a look around the general area,",neutral,neutral,neutral
"00:17:11,000","00:17:13,000","and we'll just bring it all in here,",neutral,neutral,neutral
"00:17:13,000","00:17:16,000","and then we'll see what we've got, and figure out what we're going to build, eh?",curiosity,mild,unknown
"00:17:16,000","00:17:18,000","All right, go team!",excitement,moderate,positive
"00:17:18,000","00:17:20,000",The first thing that I noticed about the tribe members,curiosity,mild,unknown
"00:17:20,000","00:17:22,000","is that a lot of people are standoffish,",confusion,mild,unknown
"00:17:22,000","00:17:26,000",and I'm wondering if it's because of Tony being so direct.,curiosity,mild,unknown
"00:17:26,000","00:17:29,000","As soon as we walk in, he knew what he thought we needed to do,",neutral,neutral,neutral
"00:17:29,000","00:17:31,000","who was in charge,",neutral,neutral,neutral
"00:17:31,000","00:17:33,000",and so we kind of let it happen.,neutral,neutral,neutral
"00:17:33,000","00:17:35,000","Yeah, if you look at some of that stuff, it's a bit rotten.",disapproval,mild,unknown
"00:17:35,000","00:17:37,000","Give it a good kick first, eh?",neutral,neutral,neutral
"00:17:39,000","00:17:43,000","Tony, were you thinking just to build an actual structure in this little area here?",curiosity,mild,unknown
"00:17:43,000","00:17:44,000",Yeah.,neutral,neutral,neutral
"00:17:44,000","00:17:48,000",I don't mind Tony taking a leadership role in this tribe.,approval,mild,unknown
"00:17:48,000","00:17:51,000","It kind of takes the focus off me a little bit, I guess.",relief,mild,unknown
"00:17:51,000","00:17:53,000","No, no, just try and overlap,",neutral,neutral,neutral
"00:17:53,000","00:17:56,000",and then I can show you how to try a square left.,neutral,neutral,neutral
"00:17:57,000","00:17:59,000","Yeah, that's too small, eh?",annoyance,mild,unknown
"00:17:59,000","00:18:02,000","Could you take it, yeah, to that far, onto that one?",neutral,neutral,neutral
"00:18:02,000","00:18:04,000",That's a better idea.,approval,mild,unknown
"00:18:04,000","00:18:05,000",Yeah.,neutral,neutral,neutral
"00:18:05,000","00:18:07,000",Maybe that one's a bit shorter.,neutral,neutral,neutral
"00:18:22,000","00:18:25,000","OK, guys, we need to site the toilet away from our camp.",neutral,neutral,neutral
"00:18:25,000","00:18:30,000","But not too far away that, you know, if the girls want to come down here,",caring,mild,unknown
"00:18:30,000","00:18:32,000",they're not going to find it.,neutral,neutral,neutral
"00:18:32,000","00:18:35,000",They're way off in the bush and they get lost and maybe get bitten by something.,fear,moderate,negative
"00:18:35,000","00:18:38,000","So I think we'll use this initially, we'll dig one here.",neutral,neutral,neutral
"00:18:38,000","00:18:41,000","I mean, we'll dig it deep enough for about two or three days,",neutral,neutral,neutral
"00:18:41,000","00:18:44,000","so you probably want a hole about, say, two feet deep.",neutral,neutral,neutral
"00:18:44,000","00:18:45,000",Yeah.,neutral,neutral,neutral
"00:18:45,000","00:18:48,000","See, I'll go get a machete.",neutral,neutral,neutral
"00:18:50,000","00:18:52,000","I mean, Tony's here because he loves it.",admiration,mild,unknown
