text,sub_emotion,intensity,emotion,emotion_encoded,sub_emotion_encoded,intensity_encoded
I have a contender.,neutral,mild,neutral,4,20,0
Laughter,amusement,strong,happiness,3,1,2
"Julien, Antoine, the time of your coaching has arrived.",neutral,mild,neutral,4,20,0
Pressure stroke.,confusion,mild,surprise,6,6,0
I'm starting to be hot.,neutral,mild,neutral,4,20,0
"I'm not good, because I don't know what they have in store for us",nervousness,moderate,fear,2,19,1
And I'm afraid of living an experience that I will not like.,fear,moderate,fear,2,14,1
"It's either we come back as a couple, or we come back separate.",confusion,moderate,surprise,6,6,1
"Apparently, I don't want to go.",disapproval,mild,disgust,1,10,0
It stresses me too much.,nervousness,strong,fear,2,19,2
"We are stressed, because we don't know what awaits us,",nervousness,moderate,fear,2,19,1
"Whether here, in the villa or outside.",neutral,mild,neutral,4,20,0
Lucie's coaching can weld us.,optimism,mild,happiness,3,21,0
"It will be a couple exercise,",neutral,mild,neutral,4,20,0
But that particularly concerns one of you.,curiosity,mild,happiness,3,7,0
Antoine ?,curiosity,mild,happiness,3,7,0
Antoine.,neutral,mild,neutral,4,20,0
I was sure.,realization,mild,surprise,6,23,0
So much the better.,approval,mild,happiness,3,4,0
I'm too happy.,joy,strong,happiness,3,17,2
You have a role to play which will not be easy.,nervousness,moderate,fear,2,19,1
"First, you will be separated.",fear,moderate,fear,2,14,1
All right.,neutral,mild,neutral,4,20,0
You will go there. There is a young man there.,neutral,mild,neutral,4,20,0
His name is Adrien.,neutral,mild,neutral,4,20,0
You have an appointment with him.,neutral,mild,neutral,4,20,0
"Please, will sit down.",neutral,mild,neutral,4,20,0
You let it go.,neutral,mild,neutral,4,20,0
"I don't understand, I see a peroxidized blond in the distance.",confusion,mild,surprise,6,6,0
"I'm starting to be tense, because ...",nervousness,mild,fear,2,19,0
"I say to myself, she will have a date before my eyes.",curiosity,mild,happiness,3,7,0
It's out of the question.,disapproval,strong,disgust,1,10,2
"Julie, I present to you Adrien.",neutral,mild,neutral,4,20,0
"Adrien, I present to you Julie.",neutral,mild,neutral,4,20,0
Adrien is there for this exercise.,neutral,mild,neutral,4,20,0
"You understood that it was a date, but that it was a date.",realization,moderate,surprise,6,23,1
You are met on a meeting application.,neutral,mild,neutral,4,20,0
You will make me fart a lead.,annoyance,mild,anger,0,3,0
This is your first appointment.,neutral,mild,neutral,4,20,0
This is the first time you have seen yourself and you have been like it.,realization,moderate,surprise,6,23,1
You enter the seduction.,curiosity,mild,happiness,3,7,0
Antoine will watch.,neutral,mild,neutral,4,20,0
"It takes me at the guts, I don't want to hurt him.",remorse,strong,sadness,5,25,2
I just want to take my legs around my neck and leave.,desire,moderate,happiness,3,8,1
Have a good date.,approval,mild,happiness,3,4,0
Merci.,gratitude,mild,happiness,3,15,0
I'm calling you Adrien.,neutral,mild,neutral,4,20,0
Adrien.,neutral,mild,neutral,4,20,0
"28, soon.",neutral,mild,neutral,4,20,0
"Okay, I have 27.",neutral,mild,neutral,4,20,0
27 ?,confusion,mild,surprise,6,6,0
"What do you see, there?",curiosity,mild,happiness,3,7,0
I have been met since the time I wanted to meet.,neutral,mild,neutral,4,20,0
"Julie, in D, you're just a boy.",neutral,mild,neutral,4,20,0
"What I'm going to ask you,",curiosity,mild,happiness,3,7,0
"is that every time it shocks you,",surprise,moderate,surprise,6,27,1
"that in reality, it is something that you would not let pass,",disapproval,moderate,disgust,1,10,1
You write on the sheet why.,confusion,mild,surprise,6,6,0
"Lucie's coaching, for me, is not at all coaching,",disapproval,moderate,disgust,1,10,1
It's just torture.,disgust,strong,disgust,1,11,2
Why is she doing this to me?,confusion,moderate,surprise,6,6,1
"She is supposed to arrange things between Julie and me,",neutral,mild,neutral,4,20,0
"But there, I have the impression that she wants us to separate.",disappointment,moderate,sadness,5,9,1
I need a guy who rises me.,desire,moderate,happiness,3,8,1
I need to learn from him.,curiosity,moderate,happiness,3,7,1
"Ah, okay, okay.",neutral,mild,neutral,4,20,0
"It's good, I know.",pride,mild,happiness,3,22,0
For what ?,curiosity,mild,happiness,3,7,0
"The hand, the gaze ...",curiosity,mild,happiness,3,7,0
A seductive position?,curiosity,mild,happiness,3,7,0
"Yeah, exactly.",realization,mild,surprise,6,23,0
"It is true that there, I am destabilized.",confusion,moderate,surprise,6,6,1
"If I sit here, right next to you?",curiosity,mild,happiness,3,7,0
"Sit here, right next to me.",desire,mild,happiness,3,8,0
Gorgeous.,admiration,mild,happiness,3,0,0
Are you going there?,curiosity,mild,happiness,3,7,0
Destabilizing?,confusion,mild,surprise,6,6,0
"Yeah, it's destabilizing.",confusion,moderate,surprise,6,6,1
A little bit.,confusion,mild,surprise,6,6,0
"The guy, he does a lot with Julie.",annoyance,moderate,anger,0,3,1
"He's there, he gets closer,",annoyance,moderate,anger,0,3,1
"He starts making compliments,",annoyance,moderate,anger,0,3,1
He touches his hand.,annoyance,moderate,anger,0,3,1
Who does he take himself for?,disapproval,moderate,disgust,1,10,1
"Already, you stay at a safety distance.",disapproval,moderate,disgust,1,10,1
"The truth, if I don't want to eat the bottom of the swimming pool,",fear,moderate,fear,2,14,1
You will distance yourself.,disapproval,moderate,disgust,1,10,1
Fiancée ?,curiosity,mild,happiness,3,7,0
"No, I'm not engaged.",neutral,mild,neutral,4,20,0
It's a joke.,amusement,mild,happiness,3,1,0
What if we remove it?,curiosity,mild,happiness,3,7,0
Why do you want to remove it?,curiosity,mild,happiness,3,7,0
"Because for me, I'm with you,",love,mild,happiness,3,18,0
We are just to put there.,neutral,mild,neutral,4,20,0
"The worst in this story,",disappointment,moderate,sadness,5,9,1
is that he touches it,disapproval,moderate,disgust,1,10,1
And she doesn't take her hand off.,disappointment,moderate,sadness,5,9,1
"If you really respect me,",disapproval,moderate,disgust,1,10,1
"Frankly, you jokes his hand with a slap.",anger,strong,anger,0,2,2
At least you send it a little ...,disapproval,moderate,disgust,1,10,1
You keep it away.,disapproval,moderate,disgust,1,10,1
"OK, agreed.",neutral,mild,neutral,4,20,0
I saw what I had to see.,realization,moderate,surprise,6,23,1
"Frankly, it's enough for me.",disappointment,moderate,sadness,5,9,1
It's a gift of ...,neutral,mild,neutral,4,20,0
"Ok, I can tell you what's going on.",neutral,mild,neutral,4,20,0
Do you want to know?,curiosity,mild,happiness,3,7,0
"It was I who asked for it, like that.",neutral,mild,neutral,4,20,0
OK.,neutral,mild,neutral,4,20,0
She sees it as a role.,neutral,mild,neutral,4,20,0
But I'm not sure.,confusion,mild,surprise,6,6,0
It's up to you to see.,neutral,mild,neutral,4,20,0
I'll explain to you what we're going to do.,neutral,mild,neutral,4,20,0
We're going to go there and we're going to sit with Julie.,neutral,mild,neutral,4,20,0
"Are we going to talk a bit, okay?",neutral,mild,neutral,4,20,0
Come on.,neutral,mild,neutral,4,20,0
"This coaching, me, he ...",confusion,mild,surprise,6,6,0
"He clearly drunk me, he pissed me off.",annoyance,strong,anger,0,3,2
For the simple reason that I do not understand.,confusion,moderate,surprise,6,6,1
I don't understand what's going on.,confusion,moderate,surprise,6,6,1
"I thought she had evolved,",disappointment,mild,sadness,5,9,0
"But when I see that, I tell myself that not at all.",disappointment,moderate,sadness,5,9,1
"Come on, see you soon.",neutral,mild,neutral,4,20,0
"Antoine, sit down.",neutral,mild,neutral,4,20,0
"I haven't seen you, it was not cool.",disappointment,mild,sadness,5,9,0
I know.,neutral,mild,neutral,4,20,0
Oh is!,surprise,mild,surprise,6,27,0
My life ...,neutral,mild,neutral,4,20,0
"My life, what's it?",confusion,mild,surprise,6,6,0
"You see, however, he knows it was false.",realization,moderate,surprise,6,23,1
Do you see the reaction?,curiosity,mild,happiness,3,7,0
"I know, because he suffered enormously.",sadness,moderate,sadness,5,26,1
But are you sick or what?,annoyance,strong,anger,0,3,2
My heart !,love,strong,happiness,3,18,2
I love you.,love,strong,happiness,3,18,2
One.,neutral,mild,neutral,4,20,0
You can give me next to me.,neutral,mild,neutral,4,20,0
"Ah yes, you can.",neutral,mild,neutral,4,20,0
I absolutely didn't want.,remorse,moderate,sadness,5,25,1
I just wanted it to end.,annoyance,moderate,anger,0,3,1
"He is convinced that you had the wish, but that you had fun?",confusion,moderate,surprise,6,6,1
I was very uncomfortable.,embarrassment,strong,fear,2,12,2
Say everything you have on your heart.,caring,moderate,happiness,3,5,1
"In fact, when I see that, you see, I tell myself that ...",realization,mild,surprise,6,23,0
"Already, I still can't trust, you see.",disappointment,moderate,sadness,5,9,1
"And to any occasion,",neutral,mild,neutral,4,20,0
"like a box evening, an evening with friends",neutral,mild,neutral,4,20,0
"Or someone you don't know who happens,",curiosity,mild,happiness,3,7,0
"you could please you physically,",desire,mild,happiness,3,8,0
"At any time, you can betray me.",fear,strong,fear,2,14,2
"Even if I know it's an exercise,",neutral,mild,neutral,4,20,0
"I have the impression that when I see you acting with him,",curiosity,mild,happiness,3,7,0
that there is a background of truth.,realization,moderate,surprise,6,23,1
"I know that in my head, it was clear and clear.",realization,moderate,surprise,6,23,1
"Afterwards, in the sense that I am honest with you,",neutral,mild,neutral,4,20,0
"If I was not with you, it's someone who could have pleased me.",desire,mild,happiness,3,8,0
"But I don't want that, even if I laughed a lot.",disapproval,mild,disgust,1,10,0
I was embarrassed.,embarrassment,strong,fear,2,12,2
It was nervousness.,nervousness,moderate,fear,2,19,1
"The evil I was able to do in Antoine,",remorse,strong,sadness,5,25,2
"It must be hard for him, but it's hard too for me",sadness,strong,sadness,5,26,2
Because I love him very much and I don't want to hurt him.,love,strong,happiness,3,18,2
I will tell you what I saw.,neutral,mild,neutral,4,20,0
"who laughed nervously and who said to himself,",nervousness,moderate,fear,2,19,1
"When it stops, because it's very hard,",annoyance,strong,anger,0,3,2
I am hurting the man I love.,remorse,strong,sadness,5,25,2
That's all I saw.,neutral,mild,neutral,4,20,0
And what I just did there,neutral,mild,neutral,4,20,0
"It is to offer you an opportunity, precisely,",optimism,mild,happiness,3,21,0
"to clear you both,",relief,mild,happiness,3,24,0
"To find out what are your limits,",curiosity,moderate,happiness,3,7,1
"talk about your fears,",caring,moderate,happiness,3,5,1
"And before leaving this adventure,",neutral,mild,neutral,4,20,0
"to put yourself in the square both to tell you,",optimism,moderate,happiness,3,21,1
"Me, listen, I want to ...",desire,moderate,happiness,3,8,1
that you never know ...,neutral,mild,neutral,4,20,0
"A self-drag person,",disapproval,mild,disgust,1,10,0
"which begins to compliment and that we get into his game,",curiosity,mild,happiness,3,7,0
"which begins to imply, that we might be seen.",nervousness,mild,fear,2,19,0
An opening.,neutral,mild,neutral,4,20,0
As Adrien did it earlier.,admiration,mild,happiness,3,0,0
This is flirting.,neutral,mild,neutral,4,20,0
And that's no.,disapproval,strong,disgust,1,10,2
This is out of the question.,anger,strong,anger,0,2,2
It seems to me completely logical.,neutral,mild,neutral,4,20,0
"So you, your limit is,",curiosity,mild,happiness,3,7,0
"If a man is too pleasant or self-drafted or flirts,",disapproval,moderate,disgust,1,10,1
I want you to put a stop.,optimism,strong,happiness,3,21,2
Exactly.,neutral,mild,neutral,4,20,0
I understand myself.,realization,moderate,surprise,6,23,1
"I would not allow myself to do it, of myself.",disapproval,moderate,disgust,1,10,1
It is not well.,disapproval,moderate,disgust,1,10,1
"And there, I realize that it still hurt him,",remorse,strong,sadness,5,25,2
"And this is the only thing I didn't want to do him again, in fact.",disappointment,moderate,sadness,5,9,1
"And this coaching makes me do a lot of things,",realization,moderate,surprise,6,23,1
including the fact that I am very in love with Antoine.,love,strong,happiness,3,18,2
And that is the most beautiful of successes.,pride,strong,happiness,3,22,2
So be careful.,fear,moderate,fear,2,14,1
The limits of one are not the limits of the other.,realization,moderate,surprise,6,23,1
Just because she's going to accept something you have to accept.,fear,moderate,fear,2,14,1
It is not because you are going to accept something that she will accept it.,fear,moderate,fear,2,14,1
Of course.,neutral,mild,neutral,4,20,0
Does it seem clear to you both?,curiosity,mild,happiness,3,7,0
Totally.,neutral,mild,neutral,4,20,0
It's clear and it's good for me.,relief,moderate,happiness,3,24,1
"In fact, the conclusion of this exercise,",neutral,mild,neutral,4,20,0
is that I realize a lot of things,realization,moderate,surprise,6,23,1
that I may not have settled.,neutral,mild,neutral,4,20,0
"Some problems of self -confidence, of self -confidence.",nervousness,mild,fear,2,19,0
"And so that it advances with Julie,",optimism,mild,happiness,3,21,0
We will have to make concessions both,realization,moderate,surprise,6,23,1
And that we talk to each other a little.,desire,mild,happiness,3,8,0
"Because deep down, I love it like crazy.",love,strong,happiness,3,18,2
"And if I didn't like it, I wouldn't react like that.",realization,moderate,surprise,6,23,1
"I am licked, both.",confusion,mild,surprise,6,6,0
I am the guy from thank you.,gratitude,mild,happiness,3,15,0
You put me bad.,disappointment,moderate,sadness,5,9,1
"It's because I noticed that I really loved you, you see.",realization,strong,surprise,6,23,2
"Go back, lovers.",approval,mild,happiness,3,4,0
A moment,neutral,mild,neutral,4,20,0
Poisson,neutral,mild,neutral,4,20,0
Oui ?,neutral,mild,neutral,4,20,0
Are you there?,curiosity,mild,happiness,3,7,0
Oui.,neutral,mild,neutral,4,20,0
Are you resting?,curiosity,mild,happiness,3,7,0
Did you talk about my coaching?,curiosity,mild,happiness,3,7,0
With Lucie.,neutral,mild,neutral,4,20,0
"I had to read it in front of everyone,",nervousness,moderate,fear,2,19,1
either to someone.,neutral,mild,neutral,4,20,0
I think it's better that I read you to you,realization,mild,surprise,6,23,0
So that you get to know me,desire,mild,happiness,3,8,0
and that sometimes you also understand my reactions,desire,mild,happiness,3,8,0
"A little virulent, explosive.",embarrassment,moderate,fear,2,12,1
It's been a while since I have to read my book,nervousness,mild,fear,2,19,0
that I had started writing following my coaching with Lucie.,neutral,mild,neutral,4,20,0
I found not the right time,disappointment,mild,sadness,5,9,0
Because I was embarrassed to read it to all broken hearts.,embarrassment,moderate,fear,2,12,1
"The only person I want to confide in this life,",desire,moderate,happiness,3,8,1
It's Nicolo.,neutral,mild,neutral,4,20,0
It is a beautiful gesture.,admiration,mild,happiness,3,0,0
"Yes, because I think I saw it reading it to anyone.",realization,mild,surprise,6,23,0
"I have to talk about myself, but in the 3rd person.",nervousness,mild,fear,2,19,0
"You see, in mode, there was once.",neutral,mild,neutral,4,20,0
Virginie really saw her weapons giving up,sadness,moderate,sadness,5,26,1
And to show his heart.,neutral,mild,neutral,4,20,0
This is something that I really appreciate,gratitude,mild,happiness,3,15,0
"Because I often show, almost all the time,",neutral,mild,neutral,4,20,0
my heart to her.,love,mild,happiness,3,18,0
"This time, it is she who makes a very important gesture for me.",gratitude,moderate,happiness,3,15,1
I did not expect it at all.,surprise,moderate,surprise,6,27,1
"Once upon a time, Virginie, an 18 -year -old girl,",neutral,mild,neutral,4,20,0
who meets love for the first time.,joy,mild,happiness,3,17,0
"It is a passionate love that saw gradually in the nightmare,",fear,strong,fear,2,14,2
since a form of violence settles.,fear,strong,fear,2,14,2
It was very difficult for me to get out of this unreasonable love.,grief,strong,sadness,5,16,2
It really left me consequences.,sadness,moderate,sadness,5,26,1
"One day, I met another man",neutral,mild,neutral,4,20,0
With whom I still experienced a passionate story,neutral,mild,neutral,4,20,0
in which Virginie had really believed.,disappointment,moderate,sadness,5,9,1
"And kindly,",neutral,mild,neutral,4,20,0
Virginie had a lot of trouble taking this betrayal.,grief,strong,sadness,5,16,2
"Over time, Virginie always advanced alone,",sadness,moderate,sadness,5,26,1
no longer believing in ideal love at all,disappointment,moderate,sadness,5,9,1
And by experiencing great distrust of everyone.,disapproval,strong,disgust,1,10,2
She nevertheless masked this disappointment by a lot of self -mockery,disappointment,mild,sadness,5,9,0
And no longer wanted to find this feeling in love.,disappointment,moderate,sadness,5,9,1
"Now I really understand why she is on the defensive,",realization,moderate,surprise,6,23,1
"Why she always has doubts, why she is always afraid.",fear,moderate,fear,2,14,1
"There, everything is clearer, finally, and it touches me.",realization,moderate,surprise,6,23,1
"That's it, but it's too embarrassing, yeah.",embarrassment,moderate,fear,2,12,1
It's too embarrassing.,embarrassment,moderate,fear,2,12,1
Laughter,amusement,mild,happiness,3,1,0
"Here, that's it.",neutral,mild,neutral,4,20,0
"Because I'm really modest on my past,",embarrassment,mild,fear,2,12,0
"On what I feel, on what I could experience.",curiosity,mild,happiness,3,7,0
"But at least it is said, I am released and I feel good.",relief,strong,happiness,3,24,2
"It speaks to you, my story, she talks to you.",curiosity,mild,happiness,3,7,0
"No, I hate.",disapproval,strong,disgust,1,10,2
"I think our situation was not at this level,",neutral,mild,neutral,4,20,0
In the sense that I saw Gaia once.,neutral,mild,neutral,4,20,0
"It is true that because of my doubts, I doubted and I did not know what to do.",confusion,moderate,surprise,6,6,1
I met a girl in the date,curiosity,mild,happiness,3,7,0
"Who, anyway, had something that looked like me.",curiosity,mild,happiness,3,7,0
"And so, I lost my certainties a bit,",confusion,moderate,surprise,6,6,1
But now I'm sure of my choice.,realization,moderate,surprise,6,23,1
"It's cute. I am super happy,",joy,strong,happiness,3,17,2
But I don't prefer to go too fast either because ...,fear,moderate,fear,2,14,1
I understand.,neutral,mild,neutral,4,20,0
"The important thing is that we walk in the same way,",optimism,moderate,happiness,3,21,1
"Then we don't know where we're going to arrive,",neutral,mild,neutral,4,20,0
"But in any case,",neutral,mild,neutral,4,20,0
It's good if we start again.,optimism,mild,happiness,3,21,0
"I think I and Virginia, we can go very far together.",optimism,strong,happiness,3,21,2
I'm proud of myself.,pride,strong,happiness,3,22,2
"I made the right decision, in the end,",relief,moderate,happiness,3,24,1
And that's something I didn't expect at all.,surprise,moderate,surprise,6,27,1
It's a good choice.,approval,moderate,happiness,3,4,1
Very cute.,amusement,mild,happiness,3,1,0
"I'm glad you gave yourself up to me, anyway.",gratitude,moderate,happiness,3,15,1
And I hope you will write well pages for your future.,optimism,mild,happiness,3,21,0
And I hope to be in these pages.,desire,moderate,happiness,3,8,1
It's cute.,amusement,mild,happiness,3,1,0
"I hope also, we'll see.",optimism,mild,happiness,3,21,0
"Thank you, in any case, for listening to me.",gratitude,moderate,happiness,3,15,1
It resources us.,relief,mild,happiness,3,24,0
We may have needed it a bit,realization,mild,surprise,6,23,0
"Because we were too much on the defensive,",realization,moderate,surprise,6,23,1
"And there, it allows a little to pick up the pieces.",relief,moderate,happiness,3,24,1
Are you going below?,curiosity,mild,happiness,3,7,0
"No, I'm going to see the girls.",neutral,mild,neutral,4,20,0
Now I feel accomplished in my coaching.,pride,moderate,happiness,3,22,1
"I have the impression that I finished it, I closed it.",realization,mild,surprise,6,23,0
I am happy and I am proud of myself.,pride,strong,happiness,3,22,2
Background music,neutral,mild,neutral,4,20,0
Children!,neutral,mild,neutral,4,20,0
We got back!,excitement,moderate,happiness,3,13,1
"Are you happy, both?",curiosity,mild,happiness,3,7,0
You are happy.,joy,mild,happiness,3,17,0
Tranquil.,neutral,mild,neutral,4,20,0
I adore.,love,strong,happiness,3,18,2
"I see Julien and Antoine return from their coaching,",neutral,mild,neutral,4,20,0
"Hyper smiling, happier than ever.",joy,strong,happiness,3,17,2
"I say, finally, a coaching where people come happy!",joy,moderate,happiness,3,17,1
It was time!,excitement,strong,happiness,3,13,2
We arrived.,neutral,mild,neutral,4,20,0
There was Lucie who was waiting for us.,neutral,mild,neutral,4,20,0
She told me to put myself behind a screen.,annoyance,mild,anger,0,3,0
Julie left with a guy.,neutral,mild,neutral,4,20,0
Ouh is!,surprise,mild,surprise,6,27,0
"I hope Lucie is not going to do this to me,",nervousness,mild,fear,2,19,0
"Otherwise, I'm going to fart a lead.",annoyance,moderate,anger,0,3,1
"Exercise or not exercise,",curiosity,mild,happiness,3,7,0
"I don't know how to pretend, I don't know how to hold back.",confusion,moderate,surprise,6,6,1
I'm sorry.,remorse,mild,sadness,5,25,0
I was not even a party that he had already the Seum.,annoyance,mild,anger,0,3,0
I let the exercise be done until the end,neutral,mild,neutral,4,20,0
To go and how far she could go to seduction,curiosity,moderate,happiness,3,7,1
"And above all, I just wanted to have the exercise from start to finish.",desire,mild,happiness,3,8,0
"If I stopped the thing after 30 seconds,",neutral,mild,neutral,4,20,0
It had no interest.,neutral,mild,neutral,4,20,0
But he wanted to stop.,desire,mild,happiness,3,8,0
"Afterwards, we settled with Lucie.",neutral,mild,neutral,4,20,0
"At that time, I totally fell in love.",love,strong,happiness,3,18,2
"He cried, my life.",sadness,strong,sadness,5,26,2
I am collapsed in tears.,grief,strong,sadness,5,16,2
I just cry.,sadness,strong,sadness,5,26,2
"You just make it stubborn, you.",annoyance,moderate,anger,0,3,1
It hurt me.,sadness,strong,sadness,5,26,2
It hurts me to see him cry.,sadness,strong,sadness,5,26,2
"At the same time, it made me happy",joy,mild,happiness,3,17,0
Because she was not sure of her feelings towards me.,confusion,moderate,surprise,6,6,1
I realized that he was ...,realization,moderate,surprise,6,23,1
He too really loved me.,joy,strong,happiness,3,17,2
She saw that I had real feelings for her.,realization,moderate,surprise,6,23,1
I realized that I am really in love with him,love,strong,happiness,3,18,2
And that I really like it.,love,mild,happiness,3,18,0
It's too cute.,admiration,mild,happiness,3,0,0
They are all very happy for us.,joy,strong,happiness,3,17,2
There is only love around us.,love,strong,happiness,3,18,2
We don't make the wrong choice.,optimism,moderate,happiness,3,21,1
"If everyone sees it, it's good for a reason.",approval,moderate,happiness,3,4,1
He is my sow and everyone knows.,pride,moderate,happiness,3,22,1
"It was a difficult exercise, but in any case, it was saving.",relief,moderate,happiness,3,24,1
It brought us closer even more,caring,strong,happiness,3,5,2
And we realize that we really want to be together.,realization,strong,surprise,6,23,2
"Julie and Antoine, I find them really cute.",admiration,mild,happiness,3,0,0
"They love each other with a love, I think, very strong.",love,strong,happiness,3,18,2
"He has eyes that for her, eyes than for him.",love,strong,happiness,3,18,2
It makes you want to meet someone.,desire,moderate,happiness,3,8,1
"On the other hand, this boy, I will offer it to date for Manon.",curiosity,mild,happiness,3,7,0
So that's it.,neutral,mild,neutral,4,20,0
"If you want, you can go down with him, not now.",neutral,mild,neutral,4,20,0
There is something that could be done.,optimism,mild,happiness,3,21,0
"If it can try to wake Lalou in passing,",curiosity,mild,happiness,3,7,0
"It's a little two-in-one, so a gift.",amusement,mild,happiness,3,1,0
