text,sub_emotion,intensity,emotion,emotion_encoded,sub_emotion_encoded,intensity_encoded
Really want to make an impression that me and Valerie we're different in our own ways,desire,moderate,happiness,3,8,1
This is her twin right Veronica,curiosity,mild,happiness,3,7,0
I like her walk a lot,admiration,mild,happiness,3,0,0
And her knees gorgeous,admiration,mild,happiness,3,0,0
"My plan was to be myself, be really laid-back and show who I am.",optimism,mild,happiness,3,21,0
"Oh shit, what should I do, what should I do?",nervousness,strong,fear,2,19,2
I just feel like I need to update this.,realization,mild,surprise,6,23,0
"When I look around all of the girls, the girl who has the best body is me.",pride,moderate,happiness,3,22,1
"Oh, she's fierce.",admiration,mild,happiness,3,0,0
It's a bit too literal again with the car.,annoyance,mild,anger,0,3,0
I'm gonna rock it out like Heidi Klum does on the runway.,excitement,moderate,happiness,3,13,1
"All the girls got good walks this year, I'm excited to see that.",excitement,moderate,happiness,3,13,1
Sweet.,approval,mild,happiness,3,4,0
This is Cindy.,neutral,mild,neutral,4,20,0
Cindy.,neutral,mild,neutral,4,20,0
You must be fierce to be fierce.,admiration,mild,happiness,3,0,0
Fierce.,admiration,mild,happiness,3,0,0
I love the action part.,joy,mild,happiness,3,17,0
You must do a runway and then go back with heels.,neutral,mild,neutral,4,20,0
"Oh my god, it's painful as hell.",disgust,strong,disgust,1,11,2
"Okay, we've got Namita.",neutral,mild,neutral,4,20,0
"Since I've done many runways, I feel like I have this down.",pride,moderate,happiness,3,22,1
Oh shit.,surprise,moderate,surprise,6,27,1
Well that was anywhere.,confusion,mild,surprise,6,6,0
I was literally not expecting that.,surprise,moderate,surprise,6,27,1
"Not sure about her walk though, she's a bit clumpy.",disapproval,mild,disgust,1,10,0
But I like the attitude.,approval,mild,happiness,3,4,0
"We have Clara. Oh my god, she's gorgeous.",admiration,moderate,happiness,3,0,1
I don't really like her walk.,disapproval,mild,disgust,1,10,0
Dorothy.,neutral,mild,neutral,4,20,0
Beautiful face.,admiration,mild,happiness,3,0,0
Jennika.,neutral,mild,neutral,4,20,0
"Oh, I like that little wink at the end.",amusement,mild,happiness,3,1,0
Angelica.,neutral,mild,neutral,4,20,0
Heidi.,neutral,mild,neutral,4,20,0
I'm not sure about her walk.,disapproval,mild,disgust,1,10,0
She just looks like she's walking with her boyfriend down the catwalk.,amusement,mild,happiness,3,1,0
I don't have so much time to change the clothes.,annoyance,mild,anger,0,3,0
I wear the high heels and run like crazy.,optimism,moderate,happiness,3,21,1
Because my heart has a little bit like sick.,sadness,mild,sadness,5,26,0
I cannot breathe when I run.,fear,moderate,fear,2,14,1
Oh my god.,surprise,mild,surprise,6,27,0
I cannot see anything. I don't get enough oxygen.,fear,strong,fear,2,14,2
It's my time to find my second world.,optimism,moderate,happiness,3,21,1
"If I don't finish this challenge, I will have to go home.",fear,moderate,fear,2,14,1
I need to do my challenge.,optimism,moderate,happiness,3,21,1
I just try my best.,optimism,moderate,happiness,3,21,1
"Oh, damn girl.",admiration,moderate,happiness,3,0,1
She's burning up that catwalk.,admiration,moderate,happiness,3,0,1
She's got a lot of attitude.,admiration,mild,happiness,3,0,0
No way.,surprise,mild,surprise,6,27,0
This is a challenge.,neutral,mild,neutral,4,20,0
This competition means a lot to me,optimism,moderate,happiness,3,21,1
because I wanted to do something to get out of my comfort zone,optimism,moderate,happiness,3,21,1
and prove myself and everyone that I can do it.,optimism,moderate,happiness,3,21,1
"Usually, Veronika always do the runway better than me.",neutral,mild,neutral,4,20,0
"But this time, I will prove to Veronika that I can do better.",optimism,moderate,happiness,3,21,1
"Three years ago, I already tried to be here and I never give up.",optimism,strong,happiness,3,21,2
"So, this is just a dream come true.",joy,strong,happiness,3,17,2
"To win this, I'm just going to focus on myself.",optimism,moderate,happiness,3,21,1
I'm going to give my best.,optimism,strong,happiness,3,21,2
My strategy for this competition is to be consistent in what I want,optimism,moderate,happiness,3,21,1
I'm not just an ordinary girl.,pride,moderate,happiness,3,22,1
I think I have the potential and the body to be a great top model.,pride,moderate,happiness,3,22,1
"Making it to this competition, it's a huge deal.",excitement,strong,happiness,3,13,2
I wish to make it to the finish line and emerge first.,desire,strong,happiness,3,8,2
I think I deserve to be in Asia's Next Top Model,pride,moderate,happiness,3,22,1
because I'm a very hardworking girl.,pride,moderate,happiness,3,22,1
I'm just going to put everything I have and nail it.,optimism,strong,happiness,3,21,2
and prove to myself that I can make it in the modeling industry.,optimism,strong,happiness,3,21,2
Great job!,approval,mild,happiness,3,4,0
I see the judges at the end of the runway.,nervousness,moderate,fear,2,19,1
I don't know what's going on in their head.,confusion,moderate,surprise,6,6,1
I feel like I own it and I have a chance to win the challenge.,optimism,moderate,happiness,3,21,1
People talk about my heart is sick.,sadness,moderate,sadness,5,26,1
I come here to win this competition.,optimism,strong,happiness,3,21,2
I think we got a good group of girls this year.,optimism,mild,happiness,3,21,0
I do too.,neutral,mild,neutral,4,20,0
Yes! Yes!,excitement,strong,happiness,3,13,2
"I see the pool and I'm like, I am in Bali.",excitement,strong,happiness,3,13,2
"It's so surreal being in this competition, staying in a house like this.",excitement,moderate,happiness,3,13,1
"Goodies! Oh my God, yes. Freestyle.",excitement,strong,happiness,3,13,2
We have all strong personalities.,neutral,mild,neutral,4,20,0
"So guys, this is the rowdy Malaysian.",amusement,mild,happiness,3,1,0
I'm the nice one.,pride,mild,happiness,3,22,0
It's good because we can talk to each other but it's bad at the same time,confusion,moderate,surprise,6,6,1
I knew it!,realization,moderate,surprise,6,23,1
I sleep with twins.,neutral,mild,neutral,4,20,0
"They're twins, same personality.",neutral,mild,neutral,4,20,0
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",confusion,mild,surprise,6,6,0
I cannot tell the difference.,confusion,mild,surprise,6,6,0
It's just so awkward.,embarrassment,moderate,fear,2,12,1
"I mean, sorry, first day.",nervousness,mild,fear,2,19,0
"Living with the other six girls, I don't know what to feel.",confusion,moderate,surprise,6,6,1
I just hope that there's less drama.,neutral,mild,neutral,4,20,0
"I just hope for the best, I think.",neutral,mild,neutral,4,20,0
"Guys, send me an email.",neutral,mild,neutral,4,20,0
"Hello, ladies.",neutral,mild,neutral,4,20,0
Welcome to your new model house.,neutral,mild,neutral,4,20,0
"As you're settling in, I must first explain to you how your scores work.",neutral,mild,neutral,4,20,0
"In order to keep you on your toes throughout this competition,",curiosity,mild,happiness,3,7,0
each of you will earn a score after every challenge and photo shoot.,neutral,mild,neutral,4,20,0
"And at the end of every week, these two scores will be combined",neutral,mild,neutral,4,20,0
in order to determine who stays and who goes.,neutral,mild,neutral,4,20,0
"As you've all successfully completed your first challenge,",approval,mild,happiness,3,4,0
here's where you stand at this point.,neutral,mild,neutral,4,20,0
"Good luck, girls.",neutral,mild,neutral,4,20,0
The one over Valerie is number one.,neutral,mild,neutral,4,20,0
And then with the other girls.,neutral,mild,neutral,4,20,0
Yes!,excitement,strong,happiness,3,13,2
It's me!,joy,strong,happiness,3,17,2
I'm so happy.,joy,strong,happiness,3,17,2
Good!,approval,mild,happiness,3,4,0
And I got second!,surprise,moderate,surprise,6,27,1
What? Second?,surprise,moderate,surprise,6,27,1
"Valerie, what are you doing to me, man?",annoyance,moderate,anger,0,3,1
You're taking my place.,disappointment,moderate,sadness,5,9,1
It's supposed to be me.,disappointment,moderate,sadness,5,9,1
"Oh, my God!",surprise,strong,surprise,6,27,2
I'm in top five.,excitement,strong,happiness,3,13,2
"Maureen is third, and Jenica is fourth, and I'm the fifth.",neutral,mild,neutral,4,20,0
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",pride,moderate,happiness,3,22,1
"So, watch out for the Philippines!",pride,moderate,happiness,3,22,1
Whose name is on there?,curiosity,mild,happiness,3,7,0
Mine?,curiosity,mild,happiness,3,7,0
"Namita, you're not in.",disappointment,moderate,sadness,5,9,1
"Oh, my God.",surprise,mild,surprise,6,27,0
"F**k me, man.",annoyance,strong,anger,0,3,2
I didn't perform as how I wanted to or like how I would have.,disappointment,moderate,sadness,5,9,1
"Okay, bye, girls.",sadness,mild,sadness,5,26,0
"Don't say that, no.",neutral,mild,neutral,4,20,0
"So, yeah.",neutral,mild,neutral,4,20,0
Cindy Miao! Cindy Miao!,excitement,moderate,happiness,3,13,1
Check your old self and step up with confidence.,optimism,moderate,happiness,3,21,1
Because you just might run into the new you.,optimism,moderate,happiness,3,21,1
"Love, Cindy Miao.",caring,mild,happiness,3,5,0
Is that makeover?,curiosity,mild,happiness,3,7,0
Who is that?,curiosity,mild,happiness,3,7,0
It's either a makeover or a snake.,curiosity,mild,happiness,3,7,0
It's something to do with a snake.,curiosity,mild,happiness,3,7,0
"We're all speculating, like, what could it be?",curiosity,moderate,happiness,3,7,1
But as a theme is expect the unexpected.,curiosity,mild,happiness,3,7,0
"I have no idea, but I'm excited to find out.",excitement,moderate,happiness,3,13,1
"Welcome, ladies, to your first photo challenge.",excitement,moderate,happiness,3,13,1
It's all about high fashion and high energy.,excitement,moderate,happiness,3,13,1
And the theme is runaway model.,neutral,mild,neutral,4,20,0
"Yesterday, the challenge was a long marathon run,",neutral,mild,neutral,4,20,0
and now we're running again.,neutral,mild,neutral,4,20,0
"Okay, let's do this.",excitement,moderate,happiness,3,13,1
"So, ladies, it's time to meet your photographer",neutral,mild,neutral,4,20,0
"from Calibre Pictures, Mr. Joel Lim.",neutral,mild,neutral,4,20,0
"Congratulations, ladies,",approval,moderate,happiness,3,4,1
on making it to your first photo challenge.,pride,moderate,happiness,3,22,1
Success on this competition,optimism,moderate,happiness,3,21,1
almost guarantees you success in the industry.,optimism,moderate,happiness,3,21,1
So we want you excited.,excitement,moderate,happiness,3,13,1
We want you motivated.,approval,mild,happiness,3,4,0
"Are you ready, girls?",excitement,mild,happiness,3,13,0
Good luck!,approval,mild,happiness,3,4,0
It's my very first photo challenge,excitement,moderate,happiness,3,13,1
in Asia's Next Top Model.,pride,moderate,happiness,3,22,1
"I've been waiting for this, like, for my whole life,",excitement,strong,happiness,3,13,2
"so I'm very excited, but I was so scared also.",nervousness,strong,fear,2,19,2
"Being in the bottom three for the runaway task,",disappointment,moderate,sadness,5,9,1
"it was a lot of pressure,",nervousness,moderate,fear,2,19,1
"because I know I had to, like,",optimism,moderate,happiness,3,21,1
step up my game this time.,optimism,moderate,happiness,3,21,1
"I kind of was just like,",realization,mild,surprise,6,23,0
"okay, you know, Namita, like,",neutral,mild,neutral,4,20,0
gotta give it your all.,optimism,moderate,happiness,3,21,1
"But at the same time, I was just like,",confusion,mild,surprise,6,6,0
"shit, you know?",annoyance,moderate,anger,0,3,1
"Hey, girls!",neutral,mild,neutral,4,20,0
"Gather around, please.",neutral,mild,neutral,4,20,0
"Probably some of you are excited,",excitement,mild,happiness,3,13,0
a little bit nervous.,nervousness,mild,fear,2,19,0
I know what it feels like,realization,mild,surprise,6,23,0
"to be in a competition kind of situation,",nervousness,mild,fear,2,19,0
I've been there.,neutral,mild,neutral,4,20,0
I'm not gonna be physically with you,neutral,mild,neutral,4,20,0
"throughout the whole competition,",neutral,mild,neutral,4,20,0
but Cindy did invite me to share some tips with you,approval,mild,happiness,3,4,0
through video messages,neutral,mild,neutral,4,20,0
so that I can see how you girls are doing.,caring,moderate,happiness,3,5,1
This is basically one of your first challenges.,neutral,mild,neutral,4,20,0
You have a long way to go.,disappointment,mild,sadness,5,9,0
"And also, people want somebody easy to work with,",neutral,mild,neutral,4,20,0
somebody who's professional.,neutral,mild,neutral,4,20,0
It's very important.,neutral,mild,neutral,4,20,0
"Good luck, girls.",approval,mild,happiness,3,4,0
I'll be seeing you again.,neutral,mild,neutral,4,20,0
Group hug!,caring,moderate,happiness,3,5,1
"I'm the first girl,",nervousness,moderate,fear,2,19,1
so I won't be able to see,disappointment,mild,sadness,5,9,0
what to do and what not to do.,confusion,moderate,surprise,6,6,1
"I'm kind of, like, nervous.",nervousness,mild,fear,2,19,0
"All right, Jennika, your time starts now.",neutral,mild,neutral,4,20,0
"You're really missing the beat of the camera,",disappointment,moderate,sadness,5,9,1
"so just really try to get it on the 1, 2, 3.",neutral,mild,neutral,4,20,0
Listen to his instructions carefully.,neutral,mild,neutral,4,20,0
It's not even a pretty dancer.,disapproval,moderate,disgust,1,10,1
It's very awkward-looking at the moment.,disapproval,moderate,disgust,1,10,1
"Okay, ready.",neutral,mild,neutral,4,20,0
I was kind of panicking,nervousness,moderate,fear,2,19,1
"because the judges were trying to help me out,",gratitude,mild,happiness,3,15,0
"like, do this, do that.",confusion,mild,surprise,6,6,0
You're coming down.,neutral,mild,neutral,4,20,0
I'm kind of thinking I should have done better.,neutral,mild,neutral,4,20,0
Clara!,excitement,mild,happiness,3,13,0
"Let's go. 1, 2, 3, go!",excitement,moderate,happiness,3,13,1
Yeah!,excitement,mild,happiness,3,13,0
"1, 2, 3, go.",neutral,mild,neutral,4,20,0
Good.,approval,mild,happiness,3,4,0
"1, 2, 3, let's go.",excitement,mild,happiness,3,13,0
"Yeah, she's got two.",approval,mild,happiness,3,4,0
Today's photoshoot's so perfect for me.,joy,moderate,happiness,3,17,1
"Yes, yes, I want some more, just like that.",desire,moderate,happiness,3,8,1
"Okay, 1, 2, 3, go.",neutral,mild,neutral,4,20,0
"I like photographers who talk like,",approval,mild,happiness,3,4,0
"nice, good, amazing, so I can improve, right?",optimism,mild,happiness,3,21,0
Yes!,excitement,mild,happiness,3,13,0
Beautiful.,admiration,mild,happiness,3,0,0
Go.,neutral,mild,neutral,4,20,0
Clara's doing really good.,admiration,moderate,happiness,3,0,1
I'm very impressed.,admiration,moderate,happiness,3,0,1
"Okay, okay, I got my work cut out for me now.",neutral,mild,neutral,4,20,0
Well done!,approval,moderate,happiness,3,4,1
"Angelica, up next.",neutral,mild,neutral,4,20,0
"Okay, less like a bird, all right?",disapproval,mild,disgust,1,10,0
"More like a woman, okay?",neutral,mild,neutral,4,20,0
"When they started doing the shoot,",neutral,mild,neutral,4,20,0
"I was like, what was I gonna do,",confusion,moderate,surprise,6,6,1
"what was I gonna do,",confusion,moderate,surprise,6,6,1
and then it just went blank.,confusion,strong,surprise,6,6,2
Think about what your hands are doing and your face.,neutral,mild,neutral,4,20,0
"1, 2, 3, and go.",neutral,mild,neutral,4,20,0
Very well.,approval,mild,happiness,3,4,0
Much better.,approval,moderate,happiness,3,4,1
"So much better, good job.",approval,moderate,happiness,3,4,1
My shoot is like a rollercoaster ride.,excitement,moderate,happiness,3,13,1
"It's like Miss Karen, Miss Indira,",neutral,mild,neutral,4,20,0
"they like it, they don't.",confusion,mild,surprise,6,6,0
My goal now is just to survive.,optimism,moderate,happiness,3,21,1
I'm gonna try to like climb on top,curiosity,mild,happiness,3,7,0
when there's just fewer girls.,neutral,mild,neutral,4,20,0
Lady!,surprise,mild,surprise,6,27,0
"1, 2, 3, go.",excitement,mild,happiness,3,13,0
I like the energy.,approval,moderate,happiness,3,4,1
Yes!,excitement,moderate,happiness,3,13,1
I don't think I can win Best Photographer.,disappointment,mild,sadness,5,9,0
"I see Heidi do it really, really well.",admiration,moderate,happiness,3,0,1
Beautiful.,admiration,moderate,happiness,3,0,1
That one's beautiful.,admiration,moderate,happiness,3,0,1
"She's like a stallion,",admiration,moderate,happiness,3,0,1
like a galloping stallion in this one.,admiration,moderate,happiness,3,0,1
That's amazing.,admiration,moderate,happiness,3,0,1
I'm getting great feedback at this moment.,joy,moderate,happiness,3,17,1
Whoa!,surprise,moderate,surprise,6,27,1
"If I trip and it's a good picture,",optimism,mild,happiness,3,21,0
it will be worth it.,optimism,mild,happiness,3,21,0
"Nice, I like that!",approval,moderate,happiness,3,4,1
Thank you so much.,gratitude,moderate,happiness,3,15,1
I'm so happy I'm before Veronica.,relief,moderate,happiness,3,24,1
"Photo shoot is more my thing,",pride,moderate,happiness,3,22,1
so she can learn from me.,pride,mild,happiness,3,22,0
"Okay, ready, 1, 2, 3, go.",excitement,mild,happiness,3,13,0
"Very chin down right now, okay?",neutral,mild,neutral,4,20,0
It's making you look very angry.,disapproval,mild,disgust,1,10,0
Try to relax your jaw a little bit.,caring,mild,happiness,3,5,0
"Use your arms, change the angle of the face.",caring,mild,happiness,3,5,0
"When I remember to put my chin up,",confusion,mild,surprise,6,6,0
I forget about the mouth.,confusion,mild,surprise,6,6,0
And then when I remember the chin and the mouth,confusion,mild,surprise,6,6,0
I comment about the eyes.,confusion,mild,surprise,6,6,0
There's always something.,annoyance,mild,anger,0,3,0
"1, 2, 3, and go.",excitement,mild,happiness,3,13,0
"Yes, there you go.",approval,moderate,happiness,3,4,1
Chicken!,surprise,mild,surprise,6,27,0
I'm feeling very hot in the jacket.,neutral,mild,neutral,4,20,0
It's really constricting my movements as well.,annoyance,mild,anger,0,3,0
"Where are you going, honey?",curiosity,mild,happiness,3,7,0
Tame the hands.,caring,mild,happiness,3,5,0
You can have a trail behind you,neutral,mild,neutral,4,20,0
"to give it a little bit more length,",neutral,mild,neutral,4,20,0
but don't bring it up too much.,neutral,mild,neutral,4,20,0
You look like Lady Gaga.,amusement,mild,happiness,3,1,0
"Yes, yes, yes, good.",approval,moderate,happiness,3,4,1
Let's try jumping in.,excitement,mild,happiness,3,13,0
"Good, a little bit less.",approval,mild,happiness,3,4,0
"Okay, 1, 2, 3, go.",excitement,mild,happiness,3,13,0
Almost.,disappointment,mild,sadness,5,9,0
"Namita, let's see what you got, girlfriend.",neutral,mild,neutral,4,20,0
"Everyone set such a high bar,",nervousness,moderate,fear,2,19,1
"and I was just like, oh, shit, crap, okay.",surprise,mild,surprise,6,27,0
Watch that duck face.,amusement,mild,happiness,3,1,0
"Careful of your eyes, you're looking really bug-eyed.",neutral,mild,neutral,4,20,0
So my confidence kind of just went...,disappointment,moderate,sadness,5,9,1
"Keep doing what you're doing with your body,",approval,mild,happiness,3,4,0
but your head needs to come forward.,neutral,mild,neutral,4,20,0
"Yes, better, better, much better.",approval,moderate,happiness,3,4,1
That one's amazing.,admiration,moderate,happiness,3,0,1
When I finally got into the momentum,relief,mild,happiness,3,24,0
"and when I finally got what they were asking for,",realization,mild,surprise,6,23,0
it was kind of too late.,disappointment,mild,sadness,5,9,0
"Well done, Veronica!",approval,moderate,happiness,3,4,1
"Between me and Valerie, it's really complicated",confusion,mild,surprise,6,6,0
because we're twins.,neutral,mild,neutral,4,20,0
"It's a competition, but we're still connected, right?",neutral,mild,neutral,4,20,0
"So I want her to do good, but I want to do better.",desire,moderate,happiness,3,8,1
"3, 2, 1, go.",neutral,mild,neutral,4,20,0
"Nice, that was a nice shape there.",approval,mild,happiness,3,4,0
That was amazing.,admiration,moderate,happiness,3,0,1
"3, go.",neutral,mild,neutral,4,20,0
It's hard to tell if you're smiling or not.,confusion,mild,surprise,6,6,0
"The pose is good,",approval,mild,happiness,3,4,0
I just have to pay more attention up here.,neutral,mild,neutral,4,20,0
So I do like...,neutral,mild,neutral,4,20,0
To loosen up.,neutral,mild,neutral,4,20,0
I really enjoyed the photo shoot.,joy,moderate,happiness,3,17,1
"Last frame, you are done.",relief,mild,happiness,3,24,0
Good job.,approval,mild,happiness,3,4,0
Cindy!,neutral,mild,neutral,4,20,0
I don't have much experience of taking photo shoots.,neutral,mild,neutral,4,20,0
"I have a lot of thoughts,",curiosity,mild,happiness,3,7,0
I have many plans for different kinds of posing.,optimism,mild,happiness,3,21,0
A little bit more energy in your face.,neutral,mild,neutral,4,20,0
"Once I step on the set, all the plans just deleted.",annoyance,moderate,anger,0,3,1
"Right now, your outfit, everything is so dramatic,",admiration,mild,happiness,3,0,0
but your face is still too sweet.,disapproval,mild,disgust,1,10,0
"I need more fierce, okay?",desire,moderate,happiness,3,8,1
"Well, give me a fierce, give me like you're angry.",neutral,mild,neutral,4,20,0
That's angry?,confusion,mild,surprise,6,6,0
More angry.,anger,mild,anger,0,2,0
I thought I can be fierce.,neutral,mild,neutral,4,20,0
Show me happy.,neutral,mild,neutral,4,20,0
Happy.,neutral,mild,neutral,4,20,0
Serious.,neutral,mild,neutral,4,20,0
Angry.,anger,mild,anger,0,2,0
Your face did not change from serious to angry at all.,confusion,mild,surprise,6,6,0
"Obviously, it's not working.",disappointment,moderate,sadness,5,9,1
Let's do some other emotions.,curiosity,mild,happiness,3,7,0
"What are you doing, Cindy?",confusion,mild,surprise,6,6,0
"Sorry, not you.",embarrassment,mild,fear,2,12,0
This is so awkward and embarrassing.,embarrassment,moderate,fear,2,12,1
I put that embarrassing thing aside,relief,mild,happiness,3,24,0
and then focus on my photo shoot.,neutral,mild,neutral,4,20,0
Yes.,approval,mild,happiness,3,4,0
"Change, good.",approval,mild,happiness,3,4,0
"Okay, last one, walk across here, look back.",neutral,mild,neutral,4,20,0
Nice.,approval,mild,happiness,3,4,0
All right.,neutral,mild,neutral,4,20,0
Maureen.,neutral,mild,neutral,4,20,0
Let's go.,neutral,mild,neutral,4,20,0
"Because you're quite little,",neutral,mild,neutral,4,20,0
you're going to have to stride a lot more.,neutral,mild,neutral,4,20,0
Lean towards the camera a little bit and relax your neck.,neutral,mild,neutral,4,20,0
It's just the beginning,neutral,mild,neutral,4,20,0
"and the judges already have to help me a lot,",nervousness,moderate,fear,2,19,1
so I feel pressured.,nervousness,moderate,fear,2,19,1
I liked your attitude on the catwalk.,approval,mild,happiness,3,4,0
"Where's that attitude today, girlfriend?",disappointment,mild,sadness,5,9,0
It's so hard.,annoyance,moderate,anger,0,3,1
I have no idea what I'm doing.,confusion,moderate,surprise,6,6,1
So let's do more where it's like...,curiosity,mild,happiness,3,7,0
"Come on, I need this shot.",fear,moderate,fear,2,14,1
"When everything comes together, Maureen,",optimism,mild,happiness,3,21,0
you look spectacular.,admiration,moderate,happiness,3,0,1
"Alicia, your time starts now.",neutral,mild,neutral,4,20,0
"Damn, girl.",admiration,mild,happiness,3,0,0
"Jump off the bridge, please.",confusion,moderate,surprise,6,6,1
Stay on the bridge.,neutral,mild,neutral,4,20,0
So I come in with too much energy.,realization,mild,surprise,6,23,0
A lot of them are booty shots.,neutral,mild,neutral,4,20,0
I don't know.,confusion,mild,surprise,6,6,0
"That's an impression for sure,",neutral,mild,neutral,4,20,0
"but good impression, bad impression.",confusion,mild,surprise,6,6,0
30 seconds.,neutral,mild,neutral,4,20,0
At least I followed the brief.,relief,mild,happiness,3,24,0
"Layla, you have 10 minutes.",neutral,mild,neutral,4,20,0
A little bit more energy.,neutral,mild,neutral,4,20,0
You just need to time that by 100.,neutral,mild,neutral,4,20,0
