start_time,end_time,text,emotion,sub-emotion,intensity
00:09:22,00:09:25,"It's just beyond 10 miles, so it's clear to shoot it down.",neutral,neutral,mild
00:09:26,00:09:28,He runs an identification procedure.,neutral,neutral,mild
00:09:28,00:09:29,It's hostile.,anger,anger,moderate
00:09:29,00:09:34,He selects the contact on his radar screen and locks a target in the enemy plane.,neutral,neutral,mild
00:09:34,00:09:39,The Iraqi hears the lock alert and he breaks into a sharp evasive maneuver.,fear,fear,moderate
00:09:39,00:09:40,But it makes no difference.,neutral,neutral,mild
00:09:40,00:09:44,Rico's lock holds strong as his finger hovers over the button.,happiness,excitement,mild
00:09:44,00:09:46,He lights up as a diamond on my scope.,happiness,amusement,mild
00:09:46,00:09:47,Say again?,surprise,confusion,mild
00:09:47,00:09:51,"It goes from a solid radar contact to a diamond, which tells me he's friendly.",happiness,curiosity,mild
00:09:51,00:09:55,Mole's systems have identified the contact as a friendly aircraft.,happiness,approval,mild
00:09:55,00:09:59,"In that moment, Mole is overtaken by a cold sense of dread.",fear,fear,moderate
00:09:59,00:10:02,But Rico's confident it has to be another MiG.,happiness,optimism,moderate
00:10:02,00:10:04,But he needs to prove it with his eyes.,happiness,optimism,mild
00:10:05,00:10:07,The two prepare for the fight.,happiness,excitement,mild
00:10:07,00:10:11,Rico elects to identify the target and Mole gets ready to take the shot.,happiness,optimism,mild
00:10:11,00:10:15,"Rico races towards the enemy, which is coming straight towards and above him.",fear,fear,moderate
00:10:15,00:10:18,"He keeps low, letting the bogey get closer.",anger,annoyance,mild
00:10:18,00:10:23,"Then he pulls up, engines burning at full throttle.",neutral,neutral,mild
00:10:24,00:10:30,"He can see the belly of the bogie right in front of him, but it's still hard to tell what it is with the bright sky as background.",happiness,curiosity,mild
00:10:30,00:10:37,He holds his F15 in his path until Rico's F15 roars within 50ft of the bandit.,anger,annoyance,moderate
00:10:37,00:10:47,"And as he does, he finally gets a good view of the enemy's top side with its green camouflage which is proudly displaying the Iraqi flag.",happiness,admiration,mild
00:10:48,00:10:50,It's a MiG 29.,neutral,neutral,mild
00:10:50,00:11:00,"Rico makes a wide turn left as he soars over the MiG, looking down through his canopy, he sees the MiG performing a flat turn left, holding his altitude.",neutral,neutral,mild
00:11:00,00:11:06,"In that instant, he spots an opening and the fancy shooter eye formation goes out the window.",happiness,excitement,mild
00:11:06,00:11:07,It's a dogfight.,happiness,excitement,moderate
00:11:07,00:11:16,"He turns upside down and pulls hard on the stick, cutting into the MiG circle is crushed by 10 GS of force, pushing the F15 to its limits.",happiness,amusement,strong
00:11:17,00:11:21,He sees the MIG roar past in front of him and he pulls hard left to follow.,happiness,excitement,moderate
00:11:22,00:11:26,"Rico sees the MiG flying away, but he knows he has the advantage.",happiness,optimism,moderate
00:11:26,00:11:29,"The MIG pushes down, trading altitude for speed.",happiness,excitement,mild
00:11:29,00:11:35,"Rico follows him, spiraling down towards the desert floor as the paths of both jets converge.",neutral,neutral,mild
00:11:36,00:11:38,Rico sees a MIG scream through the merge.,surprise,surprise,mild
00:11:38,00:11:39,He's getting closer.,neutral,neutral,mild
00:11:41,00:11:48,"He pulls hard, feeling the blood rushing down from his head as he does everything to bring the fulcrum into his sights.",happiness,optimism,moderate
00:11:50,00:11:55,"Far above, MOL can see his leader tangling with the enemy and spots an opportunity.",happiness,optimism,mild
00:11:55,00:11:57,"I can come in, stand by.",neutral,neutral,mild
00:11:57,00:11:59,But Rico can feel it.,surprise,realization,mild
00:11:59,00:11:59,This one is his.,neutral,neutral,mild
00:12:00,00:12:03,He sees the MiG coming back and they roar past one another.,happiness,excitement,moderate
00:12:04,00:12:05,"He almost, almost has him.",neutral,neutral,moderate
00:12:05,00:12:09,But they can't keep up this trajectory as they're rapidly running out of altitude.,fear,nervousness,moderate
00:12:09,00:12:13,"Rico pulls with all he has, powering through 10 GS of force.",happiness,admiration,moderate
00:12:13,00:12:20,Through the crushing GS he sees the beautiful sight of the fogcrun moving into his sights.,happiness,excitement,mild
00:12:20,00:12:26,"Rico selects an aim 9 sidewinder and starts to pull, aiming ahead of the MiG for the best chance of impact.",happiness,excitement,moderate
00:12:27,00:12:30,But the Iraqi pilot sees it and a desperate last ditch attempt.,happiness,optimism,moderate
00:12:30,00:12:34,He turns upside down and pulls hard towards the ground.,anger,annoyance,moderate
00:12:34,00:12:40,"Rico's ready for the Iraqi to try something, but he's shocked to see the MIG dive straight for the sand.",surprise,surprise,mild
00:12:40,00:12:44,"He doesn't even think of following and pulls up to the left, letting the MIG go.",anger,annoyance,mild
00:12:44,00:12:51,The Iraqi pilot starts to pull up and is crushed by extreme G forces as his plane continues towards the ground.,fear,fear,moderate
00:12:51,00:12:55,The sand fills his windshield as he pushes the afterburners to maximum.,happiness,amusement,moderate
00:12:55,00:12:57,His MIG screaming as it pulls beyond its G limits.,fear,fear,moderate
00:12:58,00:13:01,"He's doing everything to bring the nose up, but it's not enough.",anger,annoyance,moderate
00:13:05,00:13:12,And the Mig 29 fulcrum and its Iraqi pilot crash into the desert sand.,fear,fear,moderate
00:13:14,00:13:17,Rico's heart races as he comes down from the adrenaline high.,happiness,excitement,moderate
00:13:17,00:13:18,He's won.,happiness,admiration,moderate
00:13:20,00:13:23,Mole appears two miles off his right tactical right side.,neutral,neutral,mild
00:13:23,00:13:25,And Rico can finally afford to relax.,happiness,relief,moderate
00:13:26,00:13:28,"Let's go home, Cesar.",happiness,optimism,mild
00:13:28,00:13:37,"Rico Rodriguez would tally up three victories total in his career, making him tied for the top spot of MIG victories for pilots after Vietnam.",happiness,pride,mild
00:13:38,00:13:41,We hope both pilots like our film.,happiness,optimism,mild
00:13:41,00:13:42,It was close.,neutral,neutral,mild
00:13:42,00:13:44,Today two same generation fighters.,happiness,pride,mild
00:13:45,00:13:45,True.,neutral,neutral,mild
00:13:45,00:13:48,Not like when our F16s ate Hawks for breakfast.,disgust,disapproval,mild
00:13:48,00:13:50,Watch the full film here it.,happiness,curiosity,mild
